CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
163406912,11/17/16,23:10:00,11/17/16,23:16:00,11/17/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,,STREET,,,1001122,184083,40.67193419,-73.93917897,"(40.671934192, -73.939178974)"
625733930,12/12/16,18:55:00,12/12/16,19:20:00,12/12/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE - APT. HOUSE,,,1014473,184105,40.67195907,-73.89104942,"(40.671959067, -73.891049422)"
308872870,12/20/16,0:40:00,12/20/16,0:45:00,12/20/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,RESIDENCE - APT. HOUSE,,,1004603,184162,40.67214371,-73.92662996,"(40.672143711, -73.926629961)"
446578166,12/6/16,0:45:00,12/6/16,1:00:00,12/6/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,INSIDE,RESIDENCE - APT. HOUSE,,,1052120,184250,40.67214849,-73.75533339,"(40.672148493, -73.755333393)"
257908490,11/28/16,10:25:00,11/28/16,10:30:00,11/28/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,STREET,,,1001900,184197,40.67224558,-73.93637404,"(40.67224558, -73.936374036)"
543333713,12/24/16,21:10:00,12/24/16,21:19:00,12/24/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,RESTAURANT/DINER,,,1001136,184247,40.67238431,-73.93912809,"(40.672384309, -73.939128094)"
356219341,11/26/16,1:45:00,11/26/16,2:00:00,11/26/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,,STREET,,,1014175,184286,40.67245688,-73.89212289,"(40.672456883, -73.892122889)"
132047464,11/28/16,20:10:00,11/28/16,20:15:00,11/28/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,73,FRONT OF,RESIDENCE - PUBLIC HOUSING,,HOWARD,1009166,184323,40.67257395,-73.91018,"(40.672573954, -73.910180003)"
451876404,12/10/16,20:00:00,12/10/16,21:00:00,12/13/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,73,INSIDE,RESIDENCE - PUBLIC HOUSING,,HOWARD,1009166,184323,40.67257395,-73.91018,"(40.672573954, -73.910180003)"
153269143,12/19/16,13:20:00,12/19/16,13:24:00,12/19/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,75,INSIDE,RESIDENCE - PUBLIC HOUSING,,FIORENTINO PLAZA,1014551,184359,40.67265597,-73.89076709,"(40.672655973, -73.890767094)"
706857341,11/8/16,5:50:00,11/8/16,6:05:00,11/8/16,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,INSIDE,RESIDENCE-HOUSE,,,1045388,184452,40.67275199,-73.77959999,"(40.672751986, -73.779599986)"
519865185,12/17/16,0:30:00,12/17/16,1:00:00,12/17/16,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE - APT. HOUSE,,,1021290,184415,40.67278405,-73.86647289,"(40.67278405, -73.866472894)"
